shopify_filename,shopify_url,original_filename,used_on_pages,primary_page,suggested_alt,source_url
img-2823.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/img-2823.jpg,IMG_2823.JPG,rogojina-de-stuf,rogojina-de-stuf,Img 2823,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/00087576-75e9-458e-b85a-789d9163bf15/IMG_2823.JPG
traditionale-finisaj-03.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/traditionale-finisaj-03.jpg,traditionale_finisaj_03.jpg,case-traditionale,case-traditionale,Traditionale finisaj 03,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/0171e68b-9895-4d9f-bb21-90bd63b1324b/traditionale_finisaj_03.jpg
glet-pe-baza-cc-86-de-var.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/glet-pe-baza-cc-86-de-var.jpg,Glet-pe-baza%CC%86-de-var.jpg,blog/tipuri-de-finisaje,blog/tipuri-de-finisaje,Glet pe baza cc 86 de var,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/017920b3-0912-459c-95d0-e6ecbe5389a9/Glet-pe-baza%CC%86-de-var.jpg
img-3992.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/img-3992.jpg,IMG_3992.JPG,caramida-cu-goluri-si-bca,caramida-cu-goluri-si-bca,Img 3992,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/04292963-d663-44d5-b85a-e8e2574870f9/IMG_3992.JPG
caminota-izobarne.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/caminota-izobarne.jpg,P08.jpg,caminota-izobarne,caminota-izobarne,Caminota izobarne,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/04449c31-01db-4ae6-b5d9-58d4a9bf56bb/P08.jpg
saci-tencuiala-finisaj-caminota.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/saci-tencuiala-finisaj-caminota.jpg,saci_tencuiala_finisaj_caminota.jpg,home-1; home,home-1,Saci tencuiala finisaj caminota,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/05e1b124-df0e-4beb-af86-4e64f429e6b6/saci_tencuiala_finisaj_caminota.jpg
img-3998.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/img-3998.jpg,IMG_3998.JPG,caramida-cu-goluri-si-bca,caramida-cu-goluri-si-bca,Img 3998,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/0621f801-9222-4db4-a199-c2ab8a531a11/IMG_3998.JPG
case-moderne-1.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/case-moderne-1.jpg,Layer+3.jpg,case-moderne-1; vopsea-de-var,case-moderne-1,Case moderne 1,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/0b8fe7b5-2af3-4c94-b7ea-8567a25161ba/Layer+3.jpg
case-moderdne-carusel-02.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/case-moderdne-carusel-02.jpg,case_moderdne_carusel_02.jpg,caminota-tencuiala-cu-paie; case-moderne-1,caminota-tencuiala-cu-paie,Case moderdne carusel 02,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/0db1aee6-b7b0-4b48-aaf9-f477563095e6/case_moderdne_carusel_02.jpg
caminota-izobarne-02.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/caminota-izobarne-02.jpg,P18.jpg,caminota-izobarne,caminota-izobarne,Caminota izobarne,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/0e604e1e-5d19-4da0-8cad-67310b5dcd37/P18.jpg
screenshot-2024-06-18-at-13-25-17.png,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/screenshot-2024-06-18-at-13-25-17.png,Screenshot+2024-06-18+at+13.25.17.png,case-moderne-2; case-traditionale,case-moderne-2,Screenshot 2024 06 18 at 13 25 17,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/1032f02b-e064-4182-bbd5-50899133d25b/Screenshot+2024-06-18+at+13.25.17.png
case-moderdne-carusel-09.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/case-moderdne-carusel-09.jpg,case_moderdne_carusel_09.jpg,caminota-tencuiala-cu-paie; case-moderne-1,caminota-tencuiala-cu-paie,Case moderdne carusel 09,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/1649210371738-L95E4BZ3X9Z8KK4F5PBX/case_moderdne_carusel_09.jpg
blog-blog-post-title-one-c2wl7.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/blog-blog-post-title-one-c2wl7.jpg,1.jpg,blog/blog-post-title-one-c2wl7,blog/blog-post-title-one-c2wl7,Blog blog post title one c2wl7,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/1652864664978-4G7YBV9485L4KEM3OAD9/1.jpg
blog-blog-post-title-one-c2wl7-02.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/blog-blog-post-title-one-c2wl7-02.jpg,16.jpg,blog/blog-post-title-one-c2wl7; caramida-cu-goluri-si-bca,blog/blog-post-title-one-c2wl7,Blog blog post title one c2wl7,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/1652864679801-9OJ38R3ZW0U8TPO1U7LC/16.jpg
blog-blog-post-title-one-c2wl7-03.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/blog-blog-post-title-one-c2wl7-03.jpg,1.jpg,blog/blog-post-title-one-c2wl7; caramida-cu-goluri-si-bca,blog/blog-post-title-one-c2wl7,Blog blog post title one c2wl7,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/1652865064634-GEHSZKTECWURW3LIMGA3/1.jpg
blog-blog-post-title-one-c2wl7-04.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/blog-blog-post-title-one-c2wl7-04.jpg,2.jpg,blog/blog-post-title-one-c2wl7; caramida-cu-goluri-si-bca,blog/blog-post-title-one-c2wl7,Blog blog post title one c2wl7,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/1652865077244-4TFX81CT6DJQH2SIB23E/2.jpg
blog-blog-post-title-one-c2wl7-05.jpg,https://cdn.shopify.com/s/files/1/1085/3561/1741/files/blog-blog-post-title-one-c2wl7-05.jpg,3.jpg,blog/blog-post-title-one-c2wl7,blog/blog-post-title-one-c2wl7,Blog blog post title one c2wl7,https://images.squarespace-cdn.com/content/v1/61a9d578dbe25f72a9ac3ecf/1652865080754-UYPBEOCKU74SUYI0HTPU/3.jpg
